State,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Region
Alabama,59067,1211,29736,28120,1204.665947,541049,7291,2.050214164,11034.64381,12.3436098,West
Alaska,1631,17,669,945,222.9527917,156093,,1.042305334,21337.44336,,West
Arizona,131354,2434,16155,112765,1804.631228,735962,6103,1.853007902,10111.15008,4.646223183,Southwest
Arkansas,30297,335,23523,6439,1003.941939,395776,1948,1.105720038,13114.70195,6.429679506,West
California,354885,7375,,347510,898.165107,5793276,,2.078137988,14661.98447,,West
Colorado,38137,1744,4844,31549,662.2460207,409990,5963,4.572986863,7119.444267,15.63573433,West
Connecticut,47636,4380,8351,34905,1336.105621,604099,10552,9.194726677,16943.90942,22.15131413,Northeast
Delaware,13050,521,7236,5293,1340.16045,143388,,3.992337165,14725.12847,,Northeast
District of Columbia,11026,571,1809,8646,1562.311813,137944,,5.178668602,19545.75919,,Northeast
Florida,301810,4521,,297289,1405.222534,2735953,19659,1.497962294,12738.55342,6.513700673,West
Georgia,127838,3091,,124747,1204.039813,1154983,14102,2.41790391,10878.18579,11.0311488,West
Hawaii,1292,22,921,349,91.25118655,97557,133,1.702786378,6890.241491,10.29411765,West
Idaho,12449,110,3360,8979,696.6170788,133914,510,0.883605109,7493.515905,4.096714596,West
Illinois,157825,7427,,150398,1245.48003,2080733,,4.705845082,16420.15777,,Midwest
Indiana,53370,2785,39571,11014,792.7549594,586589,7686,5.218287427,8713.159807,14.40134907,Midwest
Iowa,36536,777,27177,8582,1158.009173,387312,,2.126669586,12275.86076,,Midwest
Kansas,20349,304,948,19097,698.4828961,239374,1393,1.493930906,8216.553382,6.845545236,Midwest
Kentucky,20677,645,5475,14557,462.8136392,459187,2823,3.119408038,10277.99035,13.65285099,West
Louisiana,84131,3461,53288,27382,1809.738182,1001200,,4.113822491,21536.76846,,West
Maine,3578,114,3079,385,266.1782516,127931,373,3.186137507,9517.174374,10.42481833,Northeast
Maryland,75016,3341,5238,66437,1240.819891,680088,11625,4.453716541,11249.15642,15.49669404,Northeast
Massachusetts,112347,8368,95390,8589,1629.988409,988713,11651,7.448351981,14344.75981,10.37054839,Northeast
Michigan,78913,6330,53867,18716,790.1685185,1367919,,8.021492023,13697.19222,,Midwest
Minnesota,43742,1558,38179,4005,775.6179836,790497,4495,3.561794157,14016.81883,10.27616478,Midwest
Mississippi,38567,1290,25932,11345,1295.869259,356857,3629,3.34482848,11990.5623,9.40959888,West
Missouri,30057,1119,,28938,489.7328327,517947,,3.72292644,8439.153991,,Midwest
Montana,2096,34,915,1147,196.1118212,123758,145,1.622137405,11579.39254,6.917938931,West
Nebraska,21979,291,16205,5483,1136.21325,219743,1442,1.323991082,11359.70281,6.560808044,Midwest
Nevada,30468,618,826,29024,989.1706784,364425,,2.028357621,11831.38127,,West
New Hampshire,6113,394,5101,618,449.58083,137109,665,6.44528055,10083.6869,10.87845575,Northeast
New Jersey,176278,15634,31400,129244,1984.623162,1742347,20774,8.868945643,19616.187,11.78479447,Northeast
New Mexico,15841,557,6429,8855,755.4740992,430006,2261,3.51619216,20507.44243,14.27308882,Southwest
New York,404006,32427,71782,299797,2076.771446,4848525,89995,8.026365945,24923.58597,22.27565927,Northeast
North Carolina,91837,1589,67124,23124,875.6318123,1284637,,1.730239446,12248.53844,,West
North Dakota,4565,88,3760,717,599.0326246,126564,284,1.927710843,16608.0975,6.221248631,Midwest
Ohio,69311,3075,47303,18933,592.9541197,1062623,9209,4.436525227,9090.716993,13.28649132,Midwest
Oklahoma,22814,432,17366,5016,576.5521152,447325,2170,1.893574121,11304.73284,9.51170334,Southwest
Oregon,13081,247,3129,9705,310.1426191,305456,1254,1.888234844,7242.1775,9.586423056,West
Pennsylvania,102269,6957,74436,20876,798.8524283,968649,,6.802647919,7566.394566,,Northeast
Rhode Island,17640,987,1707,14946,1665.154749,175875,2075,5.595238095,16601.98931,11.76303855,Northeast
South Carolina,62245,998,23849,37398,1208.94266,525983,3744,1.603341634,10215.81311,6.014940959,West
South Dakota,7652,111,6663,878,864.9660491,93543,752,1.45060115,10573.90475,9.82749608,Midwest
Tennessee,69061,783,39857,28421,1011.26432,1097673,3434,1.133780281,16073.29086,4.972415691,West
Texas,289837,3498,149276,137063,999.5799059,2642199,,1.206885249,9112.325299,,Southwest
Utah,30891,233,18593,12065,963.5497408,432080,1913,0.754264996,13477.40675,6.192742223,West
Vermont,1318,56,1104,158,211.2216722,78358,,4.248861912,12557.59316,,Northeast
Virginia,73527,1992,9527,62008,861.4238923,844982,10608,2.709208862,9899.597201,14.42735322,West
Washington,43046,1421,,41625,565.2869975,718234,4788,3.301119732,9431.964441,11.12298471,West
West Virginia,4557,98,2999,1460,254.2760164,217904,,2.150537634,12158.82403,,West
Wisconsin,38727,827,29923,7977,665.1342033,728496,3923,2.135461048,12511.88077,10.12988354,Midwest
Wyoming,1985,22,1506,457,342.975228,42914,131,1.108312343,7414.830698,6.599496222,West
